region,direction,layout,size,renovation,garden,year,floor,district,price,danjia
东城, 南 北 , 2室1厅 , 61.05, 简装,花园胡同8号院 ,1992,5,安定门,680,111385.0
东城, 南 , 2室1厅 , 61.98, 其他,兴化西里 ,1976,4,和平里,600,96806.0
东城, 东 南 , 3室1厅 , 86.59, 简装,车辇店胡同 ,2001,11,安定门,988,114101.0
东城, 东北 , 2室1厅 , 116.52, 精装,新景家园西区 ,2001,12,崇文门,1160,99554.0
东城, 东北 , 2室1厅 , 89.78, 精装,金鱼池中区 ,2002,7,天坛,725,80753.0
东城, 西南 , 2室1厅 , 96.6, 精装,巷上嘉园 ,2005,24,安定门,1040,107661.0
东城, 南 北 , 2室2厅 , 91.98, 精装,中海紫御公馆 ,2010,22,陶然亭,1100,119592.0
东城, 东 西 , 2室1厅 , 74.56, 精装,民安小区东直门内北小街 ,2003,16,东直门,748,100322.0
东城, 东 南 北 , 3室1厅 , 116.4, 简装,兴隆都市馨园 ,2003,6,崇文门,871,74829.0
东城, 南 北 , 2室1厅 , 69.25, 简装,车站路6号院 ,1980,6,陶然亭,460,66426.0
东城, 南 北 , 3室1厅 , 72.47, 其他,和平里七区 ,1986,5,和平里,800,110391.0
东城, 西北 , 2室1厅 , 75.3, 简装,国瑞城中区 ,2006,16,崇文门,680,90306.0
东城, 东 , 2室1厅 , 83.75, 简装,建予园 ,2001,16,永定门,550,65672.0
东城, 南 北 , 2室1厅 , 57.5, 简装,北官厅胡同甲二号院 ,1993,6,东直门,625,108696.0
东城, 东 , 2室1厅 , 93.13, 简装,冠城名敦道 ,2009,23,广渠门,550,59058.0
东城, 南 , 2室1厅 , 70.83, 简装,民安小区东扬威街 ,2002,12,东直门,760,107300.0
东城, 南 北 , 4室3厅 , 181.91, 精装,东花市北里西区 ,1996,6,东花市,1560,85757.0
东城, 东 西 , 2室2厅 , 117.06, 简装,本家润园一期 ,2005,12,东花市,1250,106783.0
东城, 东 西 , 2室1厅 , 59.78, 简装,和平里七区 ,1979,4,和平里,579,96856.0
东城, 东 西 , 4室2厅 , 221.46, 简装,胜古中路1号院 ,1998,14,安贞,1260,56896.0
东城, 南 北 , 1室1厅 , 51.09, 简装,大方家胡同 ,2003,6,朝阳门内,569,111373.0
东城, 南 , 1室1厅 , 38.5, 精装,地坛北里 ,1990,5,和平里,488,126754.0
东城, 东南 , 1室1厅 , 83.24, 精装,冠城名敦道 ,2009,23,广渠门,590,70880.0
东城, 南 , 1室1厅 , 107.22, 精装,太华公寓 ,2000,17,崇文门,750,69950.0
东城, 西 , 1室1厅 , 46.24, 其他,禾风相府 ,2004,14,金宝街,600,129758.0
东城, 东 西 , 3室1厅 , 90.63, 精装,新景家园东区 ,2004,16,崇文门,950,104822.0
东城, 南 北 , 4室3厅 , 204.16, 精装,新怡家园 ,2006,13,崇文门,2450,120004.0
