region,direction,layout,size,renovation,garden,year,floor,district,price,danjia
大兴, 南 , 1室1厅 , 36.92, 精装,德茂小区 ,1985,5,瀛海,182,49296.0
大兴, 南 北 , 1室2厅 , 73.6, 毛坯,九龙山庄三区 ,1996,7,西红门,268,36414.0
大兴, 东南 , 2室1厅 , 55.97, 简装,团河苑 ,1990,6,大兴其它,219,39129.0
大兴, 南 北 , 2室1厅 , 93.81, 简装,成和园 ,2005,9,旧宫,395,42107.0
大兴, 南 北 , 2室1厅 , 92.99, 简装,艺苑桐城 ,2009,16,黄村火车站,399,42908.0
大兴, 南 北 , 2室1厅 , 68.6, 精装,滨河西里 ,1994,6,枣园,253,36881.0
大兴, 南 北 , 3室1厅 , 135.4, 毛坯,紫郡府 ,2015,9,旧宫,840,62039.0
大兴, 南 北 , 2室2厅 , 95.76, 简装,上林苑 ,2002,6,瀛海,395,41249.0
大兴, 南 西 北 , 2室1厅 , 70.91, 精装,郁花园二里 ,1998,6,郁花园,310,43718.0
大兴, 东 西 , 2室1厅 , 75.74, 简装,双河南里 ,1997,6,观音寺,235,31028.0
大兴, 南 北 , 3室1厅 , 91.11, 精装,保利茉莉公馆 ,2012,27,黄村北,560,61465.0
大兴, 南 北 , 2室2厅 , 97.17, 简装,宏盛家园 ,2000,6,西红门,383,39416.0
大兴, 南 北 , 1室1厅 , 59.09, 简装,长丰园三区 ,2003,6,科技园区,240,40617.0
大兴, 东南 西北 , 1室1厅 , 70.57, 简装,明春西园 ,1999,6,科技园区,248,35143.0
大兴, 西 , 2室1厅 , 54.08, 精装,佳和园老区 ,1997,6,旧宫,229,42345.0
大兴, 东南 , 1室1厅 , 47.05, 精装,清源西里 ,1992,6,枣园,209,44421.0
大兴, 东 西 , 1室1厅 , 79.41, 精装,润枫锦尚 ,2010,5,旧宫,329,41431.0
大兴, 南 北 , 1室1厅 , 70.41, 精装,彩虹新城 ,2009,17,枣园,345,48999.0
大兴, 西 南 , 2室1厅 , 73.64, 简装,美宅湾 ,2006,15,旧宫,285,38702.0
大兴, 南 北 , 2室1厅 , 69.69, 毛坯,观音寺北里 ,1997,6,观音寺,240,34439.0
